epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.72865,1.63523,5.55979,1.92405,0.61074,0.1,0.029,0.01456,1.69949,7.09288,2.37021,0.0982,0.0002,0.0002
2,2.80319,1.61875,5.32584,1.91682,0.61091,0.1,0.02789,0.01379,1.72639,6.7417,2.42281,0.095495,0.00049505,0.00049505
3,3.87232,1.52657,5.2661,1.91335,0.61156,0.1,0.0289,0.01424,1.71594,6.09286,2.389,0.0927842,0.00078416,0.00078416
4,4.91167,1.68447,4.27114,1.90043,0.00982,0.13333,0.03548,0.01816,1.66844,4.98315,2.41944,0.0900673,0.00106733,0.00106733
5,5.98284,1.30014,4.16546,1.71875,0.00889,0.85,0.04192,0.02105,1.62285,4.3596,2.42524,0.0873446,0.00134456,0.00134456
6,7.00862,1.40723,3.41196,1.7558,0.01999,0.33333,0.05553,0.02527,1.69313,4.2293,2.46047,0.0846159,0.00161585,0.00161585
7,8.00721,1.29208,3.04021,1.6567,0.35544,0.16023,0.10609,0.04598,1.65735,3.85458,2.37187,0.0818812,0.0018812,0.0018812
8,8.99735,1.27624,2.88266,1.66192,0.54692,0.1,0.14542,0.06336,1.55557,3.56379,2.26098,0.0791406,0.00214061,0.00214061
9,10.0113,1.20939,2.77628,1.67344,0.23761,0.55384,0.30697,0.16307,1.56832,3.34909,2.16276,0.0763941,0.00239408,0.00239408
10,11.0073,1.27008,2.15194,1.58634,0.27172,0.535,0.33824,0.19302,1.55679,3.10749,2.18946,0.0736416,0.00264161,0.00264161
11,11.9989,1.24312,1.95353,1.56208,0.30478,0.31111,0.27943,0.16387,1.51259,3.17959,2.0808,0.0708832,0.0028832,0.0028832
12,12.97,1.24895,2.1838,1.62281,0.1524,0.66674,0.37062,0.22587,1.46315,2.79096,2.00807,0.0681189,0.00311885,0.00311885
13,13.9721,1.16829,1.69129,1.48447,0.30025,0.65,0.47682,0.24793,1.51157,2.5452,2.06155,0.0653486,0.00334856,0.00334856
14,14.9831,1.21467,1.54464,1.48741,0.57625,0.48406,0.52834,0.28957,1.61291,2.43706,2.16208,0.0625723,0.00357233,0.00357233
15,15.9728,1.0907,1.48777,1.44624,0.30574,0.47694,0.36584,0.21198,1.53199,2.76032,2.09818,0.0597902,0.00379016,0.00379016
16,16.9768,1.05864,1.57113,1.45258,0.41939,0.34791,0.40471,0.22396,1.48478,2.80775,1.99715,0.057002,0.00400205,0.00400205
17,17.9546,1.03834,1.2406,1.38729,0.245,0.3,0.32266,0.19114,1.6739,2.933,2.15291,0.054208,0.004208,0.004208
18,18.9327,0.97899,1.25697,1.32802,0.60858,0.41182,0.36462,0.25254,1.50906,2.54529,1.93144,0.051408,0.00440801,0.00440801
19,19.9002,1.06287,1.21297,1.35738,0.56369,0.40558,0.48315,0.29503,1.54813,2.16144,1.81851,0.0486021,0.00460208,0.00460208
20,20.8931,0.9491,1.05751,1.27559,0.53338,0.50141,0.53199,0.28423,1.78616,2.60922,2.14394,0.0457902,0.00479021,0.00479021
21,21.8653,0.98552,1.04028,1.3082,0.45372,0.45611,0.54376,0.3183,1.6773,1.9591,1.96005,0.0429724,0.0049724,0.0049724
22,22.8471,1.03931,1.05837,1.34803,0.23079,0.35833,0.47572,0.27197,1.69097,2.14294,1.91673,0.0401487,0.00514865,0.00514865
23,23.833,0.92639,1.00132,1.27733,0.46179,0.53293,0.52554,0.27803,1.80085,2.02843,1.95777,0.037319,0.00531896,0.00531896
24,24.7929,0.87648,0.94219,1.24068,0.5243,0.73679,0.70043,0.36125,1.77425,1.7054,1.99129,0.0344833,0.00548333,0.00548333
25,25.7774,0.98683,1.0149,1.32669,0.35952,0.56188,0.47094,0.26139,1.80046,2.30721,2.19139,0.0316418,0.00564176,0.00564176
26,26.7574,0.91915,0.83046,1.24214,0.58899,0.39452,0.41592,0.20439,1.80678,3.14761,2.31236,0.0287943,0.00579425,0.00579425
27,27.7263,0.95521,0.90778,1.28001,0.72429,0.4,0.38179,0.19696,1.91856,2.97972,2.64289,0.0259408,0.0059408,0.0059408
28,28.7014,0.88855,0.82274,1.19299,0.54322,0.36667,0.35607,0.22168,1.61802,2.79647,2.11586,0.0230814,0.00608141,0.00608141
29,29.6666,0.91115,0.85396,1.22635,0.54322,0.36667,0.35607,0.22168,1.61802,2.79647,2.11586,0.0202161,0.00621608,0.00621608
30,30.6588,0.82362,0.69136,1.13024,0.37699,0.43333,0.44819,0.27545,1.52777,2.08855,2.02676,0.0173448,0.00634481,0.00634481
31,31.5993,0.89619,0.88033,1.27159,0.4041,0.49607,0.28485,0.17012,1.60313,2.91145,2.02339,0.0144676,0.0064676,0.0064676
32,32.56,0.88443,0.70205,1.18547,0.29941,0.45833,0.25287,0.15138,1.79706,2.9821,2.20506,0.0115844,0.00658445,0.00658445
33,33.4883,0.97344,0.79584,1.24595,0.29941,0.45833,0.25287,0.15138,1.79706,2.9821,2.20506,0.00869536,0.00669536,0.00669536
34,34.4513,0.89725,0.73363,1.17437,0.38177,0.40197,0.22195,0.11049,1.78911,3.19009,2.37958,0.006733,0.006733,0.006733
35,35.4021,0.93659,0.86316,1.24619,0.2918,0.45,0.21671,0.1252,1.76309,3.09361,2.29634,0.006634,0.006634,0.006634
36,36.4321,1.00778,0.78128,1.25547,0.40975,0.5,0.42179,0.20867,1.76402,3.10492,2.30957,0.006535,0.006535,0.006535
37,37.3937,0.84119,0.74832,1.12055,0.40975,0.5,0.42179,0.20867,1.76402,3.10492,2.30957,0.006436,0.006436,0.006436
38,38.3614,0.76131,0.76682,1.12775,0.67537,0.4928,0.47752,0.24299,1.74563,2.48153,2.49124,0.006337,0.006337,0.006337
39,39.3226,0.83915,0.75148,1.17187,0.51272,0.525,0.51598,0.31941,1.64778,2.519,2.25386,0.006238,0.006238,0.006238
40,40.3016,0.77228,0.67318,1.17685,0.72025,0.43685,0.4734,0.32707,1.41265,2.35458,2.01845,0.006139,0.006139,0.006139
41,41.244,0.75565,0.75311,1.14326,0.72025,0.43685,0.4734,0.32707,1.41265,2.35458,2.01845,0.00604,0.00604,0.00604
42,42.2332,0.77971,0.69678,1.12261,0.55488,0.55,0.51122,0.30587,1.54806,2.1704,2.20784,0.005941,0.005941,0.005941
