epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.65388,1.63523,5.55979,1.92405,0.61074,0.1,0.029,0.01456,1.69949,7.09288,2.37021,1.428e-05,1.428e-05,1.428e-05
2,2.70424,1.67952,5.55677,2.05179,0.61076,0.1,0.02776,0.01286,1.70625,7.17968,2.43236,3.55233e-05,3.55233e-05,3.55233e-05
3,3.7729,1.49188,5.50483,1.86168,0.00871,0.625,0.0273,0.01329,1.73822,6.00153,2.3924,5.65545e-05,5.65545e-05,5.65545e-05
4,5.04367,1.54502,3.89827,1.86252,0.04341,0.15833,0.06454,0.03511,1.46389,6.03004,2.02363,7.73737e-05,7.73737e-05,7.73737e-05
5,6.27504,1.21573,3.15113,1.52885,0.33673,0.175,0.19422,0.11898,1.43976,8.1415,2.03469,9.79808e-05,9.79808e-05,9.79808e-05
6,7.49206,1.30524,2.85899,1.61222,0.67465,0.2,0.17059,0.1,1.47692,9.63856,2.12616,0.000118376,0.000118376,0.000118376
7,8.67434,1.33728,2.40684,1.6344,0.21012,0.4,0.22861,0.12367,1.54281,8.56026,2.15414,0.000138559,0.000138559,0.000138559
8,9.84266,1.23419,2.2618,1.56775,0.26428,0.40034,0.29611,0.15231,1.57806,7.4867,2.13839,0.00015853,0.00015853,0.00015853
9,11.0126,1.05061,2.20388,1.41771,0.67721,0.30727,0.37729,0.17698,1.5259,5.90309,2.12231,0.000178289,0.000178289,0.000178289
10,12.1868,1.15782,2.12666,1.50296,0.39916,0.49873,0.41576,0.1922,1.51289,5.26543,2.04169,0.000197835,0.000197835,0.000197835
11,13.4034,1.1212,1.80129,1.4047,0.33406,0.4,0.36361,0.19929,1.59923,4.89881,2.10416,0.00021717,0.00021717,0.00021717
12,14.6091,1.11182,1.57877,1.4009,0.24898,0.33333,0.32556,0.172,1.58767,4.83537,2.09082,0.000236293,0.000236293,0.000236293
13,15.7807,1.08265,1.98928,1.47071,0.51608,0.43333,0.36855,0.17853,1.69114,4.66507,2.08444,0.000255204,0.000255204,0.000255204
14,16.9094,0.99596,1.4798,1.31107,0.70084,0.46476,0.43453,0.21828,1.62773,4.38428,2.03666,0.000273902,0.000273902,0.000273902
15,18.0676,0.94797,1.6897,1.36323,0.38824,0.46667,0.47757,0.20542,1.67886,3.9644,2.24755,0.000292389,0.000292389,0.000292389
